neighbourhood;residential_lot;world;pack
Sable Square;Yes;Brindleton Bay;Cats & Dogs
Whiskerman’s Wharf;Yes;Brindleton Bay;Cats & Dogs
Cavalier Cove;Yes;Brindleton Bay;Cats & Dogs
Deadgrass Isle;No;Brindleton Bay;Cats & Dogs
University of Britechester;No;Britechester;Discover University
Foxbury Institute;No;Britechester;Discover University
Gibbs Hill;Yes;Britechester;Discover University
Mirage Park;Yes;Del Sol Valley;Get Famous
The Pinnacles;Yes;Del Sol Valley;Get Famous
Starlight Boulevard;No;Del Sol Valley;Get Famous
Grims Quarry;Yes;Evergreen Harbor;Eco Lifestyle
Connifer Station;Yes;Evergreen Harbor;Eco Lifestyle
Port Promise;Yes;Evergreen Harbor;Eco Lifestyle
Glimmerbrook;Yes;Glimmerbrook;Realm of Magic
Campground;No;Granite Falls;Outdoor Retreat
Granite Falls Forest;No;Granite Falls;Outdoor Retreat
Finchwick;Yes;Henford-on-Bagley;Cottage Living
Old New Henford;Yes;Henford-on-Bagley;Cottage Living
The Bramblewood;Yes;Henford-on-Bagley;Cottage Living
Bedrock Strait;Yes;Oasis Springs;Basegame
Parched Prospect;Yes;Oasis Springs;Basegame
Skyward Palms;Yes;Oasis Springs;Basegame
Acquisition Butte;Yes;Oasis Springs;Basegame
Mirage Canyon;No;Oasis Springs;Basegame
Desert Bloom Park;No;Oasis Springs;Basegame
Spice Market;Yes;San Myshuno;City Living
Arts Quarter;Yes;San Myshuno;City Living
Fashion District;Yes;San Myshuno;City Living
Uptown;Yes;San Myshuno;City Living
Mua Pel’am;Yes;Sulani;Island Living
Ohan’ali Town;Yes;Sulani;Island Living
Lani St. Taz;Yes;Sulani;Island Living
Magnolia Promenade;No;Magnolia Promenade;Get To Work
Wakaba;Yes;Mt. Komorebi;Snowy Escape
Senbamachi;Yes;Mt. Komorebi;Snowy Escape
Yukimatsu;Yes;Mt. Komorebi;Snowy Escape
Bridgeview;Yes;Newcrest;Basegame
Llama Lagoon;Yes;Newcrest;Basegame
Ridgeline Drive;Yes;Newcrest;Basegame
Foundry Cove;Yes;Willow Creek;Basegame
Courtyard;Yes;Willow Creek;Basegame
Pendula View;Yes;Willow Creek;Basegame
Sage Estates;Yes;Willow Creek;Basegame
Crawdad Quarter;No;Willow Creek;Basegame
Olde Platz;Yes;Windenburg;Get Together
Lykke Centre;No;Windenburg;Get Together
Windslar;Yes;Windenburg;Get Together
The Crumbling Isle;Yes;Windenburg;Get Together
